name,link,num_nodes,num_edges,services,goals
Cedrus: Migrating a Legacy Application to a Serverless Ecosystem,https://www.youtube.com/watch?v=iwDNnyiD26M,9,9,"ThirdParty,DynamoDB,Lambda,UserConsumerWeb,S3,AppSync,Cognito,SNS",interactive
from scratch: Resource Manager Controls Task Distribution with Multiple Amazon EMR Clusters,https://www.youtube.com/watch?v=nM-AkqNh7Yo,8,10,"EC2,EMR,SQS,S3,CloudWatch,RDS",data_ingestion
Equinix: Massive Data Ingest  Analytics with Serverless Cloud Application Architectures on AWS,https://www.youtube.com/watch?v=DxHO2TWVN8I,10,19,"DynamoDB,CloudFront,Firehose,UserCompanyAnalyst,Shield,UserConsumerWeb,ApiGateway,S3,Lambda,ECS",data_ingestion
United Airlines: How to Use AWS Backup to Protect Data from Ransomware Events,https://www.youtube.com/watch?v=bikXzsVihF4,7,10,"StepFunctions,ThirdParty,QuickSight,CloudTrail,IAM,CloudFormation,EventBridge",other
SHOPLINE: Building E-Commerce O2O platform on AWS (Cantonese),https://www.youtube.com/watch?v=mmM_JnYygZM,10,14,"ThirdParty,UserConsumerPOS,CloudWatch,UserConsumerWeb,ApiGateway,S3,UserCompanyDataStream,ECS",interactive
Mission: Gamified Platform Scaling with Amazon EKS,https://www.youtube.com/watch?v=xKaPAihW_gE,8,8,"VPC,ElastiCache,ALB,SQS,UserConsumerMobile,Aurora,EKS",compute_intensive
Infor: Ingest and Analyze Millions of Application Events Daily for Compliance Violations,https://www.youtube.com/watch?v=0gNMEyei-co,9,13,"Fargate,ThirdParty,EMR,SQS,Aurora,S3,EventBridge,UserCompanyDataStream,Kinesis",data_ingestion
Veritiv: Enable Insights to Forecast Sales Demand on AWS Data Lakes,https://www.youtube.com/watch?v=jg85DzUZ9Ac,10,11,"DynamoDB,RedShift,Lambda,DMS,SQS,VPN,S3,UserCompanyDataStream",data_ingestion
Intent: Analyzing Billions of Customer Events Per Day Using Serverless,https://www.youtube.com/watch?v=yVgxqT1vikk,10,16,"Firehose,Lambda,Athena,ApiGateway,S3,UserCompanyDataStream,Kinesis,ECS",data_ingestion
OnScale: Deploying HPCs for CAE Workloads on AWS,https://www.youtube.com/watch?v=bxvZBfbyhiA,9,12,"DynamoDB,EC2,UserConsumerDeveloper,CloudWatch,S3,Lambda,EKS,SNS",compute_intensive
Treasury Intelligence Solutions: Managing Data Growth & Scalability with a Secure Data Lake,https://www.youtube.com/watch?v=ec6j-MaOSUc,11,20,"StepFunctions,ThirdParty,Glue,UserCompanyAnalyst,DMS,ApiGateway,Aurora,S3,Lambda,LakeFormation,UserCompanyDeveloper",data_ingestion
